,date,close,,,,,,,,,,
,"Aug 25, 2010",242.89,,,,,,,,,,
,"Aug 24, 2010",239.93,,,,,,,,,,
,"Aug 23, 2010",245.80,,,,,,,,,,
,"Aug 20, 2010",249.64,,,,,,,,,,
,"Aug 19, 2010",249.88,,,,,,,,,,
,"Aug 18, 2010",253.07,,,,,,,,,,
,"Aug 17, 2010",251.97,,,,,,,,,,
,"Aug 16, 2010",247.64,,,,,,,,,,
,"Aug 13, 2010",249.10,,,,,,,,,,
,"Aug 12, 2010",251.79,,,,,,,,,,
,"Aug 11, 2010",250.19,,,,,,,,,,
,"Aug 10, 2010",259.41,,,,,,,,,,
,"Aug 9, 2010",261.75,,,,,,,,,,
,"Aug 6, 2010",260.09,,,,,,,,,,
,"Aug 5, 2010",261.70,,,,,,,,,,
,"Aug 4, 2010",262.98,,,,,,,,,,
,"Aug 3, 2010",261.93,,,,,,,,,,
,"Aug 2, 2010",261.85,,,,,,,,,,
,"Jul 30, 2010",257.25,,,,,,,,,,
,"Jul 29, 2010",258.11,,,,,,,,,,
,"Jul 28, 2010",260.96,,,,,,,,,,
,"Jul 27, 2010",264.08,,,,,,,,,,
,"Jul 26, 2010",259.28,,,,,,,,,,
,"Jul 23, 2010",259.94,,,,,,,,,,
,"Jul 22, 2010",259.02,,,,,,,,,,
,"Jul 21, 2010",254.24,,,,,,,,,,
,"Jul 20, 2010",251.89,,,,,,,,,,
,"Jul 19, 2010",245.58,,,,,,,,,,
,"Jul 16, 2010",249.90,,,,,,,,,,
,"Jul 15, 2010",251.45,,,,,,,,,,
,"Jul 14, 2010",252.73,,,,,,,,,,
,"Jul 13, 2010",251.80,,,,,,,,,,
,"Jul 12, 2010",257.28,,,,,,,,,,
,"Jul 9, 2010",259.62,,,,,,,,,,
,"Jul 8, 2010",258.09,,,,,,,,,,
,"Jul 7, 2010",258.66,,,,,,,,,,
,"Jul 6, 2010",248.63,,,,,,,,,,
,"Jul 5, 2010",246.94,,,,,,,,,,
,"Jul 2, 2010",246.94,,,,,,,,,,
,"Jul 1, 2010",248.48,,,,,,,,,,
,"Jun 30, 2010",251.53,,,,,,,,,,
,"Jun 29, 2010",256.17,,,,,,,,,,
,"Jun 28, 2010",268.30,,,,,,,,,,
,"Jun 25, 2010",266.70,,,,,,,,,,
,"Jun 24, 2010",269.00,,,,,,,,,,
,"Jun 23, 2010",270.97,,,,,,,,,,
,"Jun 22, 2010",273.85,,,,,,,,,,
,"Jun 21, 2010",270.17,,,,,,,,,,
,"Jun 18, 2010",274.07,,,,,,,,,,
,"Jun 17, 2010",271.87,,,,,,,,,,
,"Jun 16, 2010",267.25,,,,,,,,,,
,"Jun 15, 2010",259.69,,,,,,,,,,
,"Jun 14, 2010",254.28,,,,,,,,,,
,"Jun 11, 2010",253.51,,,,,,,,,,
,"Jun 10, 2010",250.51,,,,,,,,,,
,"Jun 9, 2010",243.20,,,,,,,,,,
,"Jun 8, 2010",249.33,,,,,,,,,,
,"Jun 7, 2010",250.94,,,,,,,,,,
,"Jun 4, 2010",255.96,,,,,,,,,,
,"Jun 3, 2010",263.12,,,,,,,,,,
,"Jun 2, 2010",263.95,,,,,,,,,,
,"Jun 1, 2010",260.83,,,,,,,,,,
,"May 31, 2010",256.88,,,,,,,,,,
,"May 28, 2010",256.88,,,,,,,,,,
,"May 27, 2010",253.35,,,,,,,,,,
,"May 26, 2010",244.11,,,,,,,,,,
,"May 25, 2010",245.22,,,,,,,,,,
,"May 24, 2010",246.76,,,,,,,,,,
,"May 21, 2010",242.32,,,,,,,,,,
,"May 20, 2010",237.76,,,,,,,,,,
,"May 19, 2010",248.34,,,,,,,,,,
,"May 18, 2010",252.36,,,,,,,,,,
,"May 17, 2010",254.22,,,,,,,,,,
,"May 14, 2010",253.82,,,,,,,,,,
,"May 13, 2010",258.36,,,,,,,,,,
,"May 12, 2010",262.09,,,,,,,,,,
,"May 11, 2010",256.52,,,,,,,,,,
,"May 10, 2010",253.99,,,,,,,,,,
,"May 7, 2010",235.86,,,,,,,,,,
,"May 6, 2010",246.25,,,,,,,,,,
,"May 5, 2010",255.98,,,,,,,,,,
,"May 4, 2010",258.68,,,,,,,,,,
,"May 3, 2010",266.35,,,,,,,,,,
,"Apr 30, 2010",261.09,,,,,,,,,,
,"Apr 29, 2010",268.64,,,,,,,,,,
,"Apr 28, 2010",261.60,,,,,,,,,,
,"Apr 27, 2010",262.04,,,,,,,,,,
,"Apr 26, 2010",269.50,,,,,,,,,,
,"Apr 23, 2010",270.83,,,,,,,,,,
,"Apr 22, 2010",266.47,,,,,,,,,,
,"Apr 21, 2010",259.22,,,,,,,,,,
,"Apr 20, 2010",244.59,,,,,,,,,,
,"Apr 19, 2010",247.07,,,,,,,,,,
,"Apr 16, 2010",247.40,,,,,,,,,,
,"Apr 15, 2010",248.92,,,,,,,,,,
,"Apr 14, 2010",245.69,,,,,,,,,,
,"Apr 13, 2010",242.43,,,,,,,,,,
,"Apr 12, 2010",242.29,,,,,,,,,,
,"Apr 9, 2010",241.79,,,,,,,,,,
,"Apr 8, 2010",239.95,,,,,,,,,,
,"Apr 7, 2010",240.60,,,,,,,,,,
,"Apr 6, 2010",239.54,,,,,,,,,,
,"Apr 5, 2010",238.49,,,,,,,,,,
,"Apr 2, 2010",235.97,,,,,,,,,,
,"Apr 1, 2010",235.97,,,,,,,,,,
,"Mar 31, 2010",235.00,,,,,,,,,,
,"Mar 30, 2010",235.84,,,,,,,,,,
,"Mar 29, 2010",232.39,,,,,,,,,,
,"Mar 26, 2010",230.90,,,,,,,,,,
,"Mar 25, 2010",226.65,,,,,,,,,,
,"Mar 24, 2010",229.37,,,,,,,,,,
,"Mar 23, 2010",228.36,,,,,,,,,,
,"Mar 22, 2010",224.75,,,,,,,,,,
,"Mar 19, 2010",222.25,,,,,,,,,,
,"Mar 18, 2010",224.65,,,,,,,,,,
,"Mar 17, 2010",224.12,,,,,,,,,,
,"Mar 16, 2010",224.45,,,,,,,,,,
,"Mar 15, 2010",223.84,,,,,,,,,,
,"Mar 12, 2010",226.60,,,,,,,,,,
,"Mar 11, 2010",225.50,,,,,,,,,,
,"Mar 10, 2010",224.84,,,,,,,,,,
,"Mar 9, 2010",223.02,,,,,,,,,,
,"Mar 8, 2010",219.08,,,,,,,,,,
,"Mar 5, 2010",218.95,,,,,,,,,,
,"Mar 4, 2010",210.71,,,,,,,,,,
,"Mar 3, 2010",209.33,,,,,,,,,,
,"Mar 2, 2010",208.85,,,,,,,,,,
,"Mar 1, 2010",208.99,,,,,,,,,,
,"Feb 26, 2010",204.62,,,,,,,,,,
,"Feb 25, 2010",202.00,,,,,,,,,,
,"Feb 24, 2010",200.66,,,,,,,,,,
,"Feb 23, 2010",197.06,,,,,,,,,,
,"Feb 22, 2010",200.42,,,,,,,,,,
,"Feb 19, 2010",201.67,,,,,,,,,,
,"Feb 18, 2010",202.93,,,,,,,,,,
,"Feb 17, 2010",202.55,,,,,,,,,,
,"Feb 16, 2010",203.40,,,,,,,,,,
,"Feb 15, 2010",200.38,,,,,,,,,,
,"Feb 12, 2010",200.38,,,,,,,,,,
,"Feb 11, 2010",198.67,,,,,,,,,,
,"Feb 10, 2010",195.12,,,,,,,,,,
,"Feb 9, 2010",196.19,,,,,,,,,,
,"Feb 8, 2010",194.12,,,,,,,,,,
,"Feb 5, 2010",195.46,,,,,,,,,,
,"Feb 4, 2010",192.05,,,,,,,,,,
,"Feb 3, 2010",199.23,,,,,,,,,,
,"Feb 2, 2010",195.86,,,,,,,,,,
,"Feb 1, 2010",194.73,,,,,,,,,,
,"Jan 29, 2010",192.06,,,,,,,,,,
,"Jan 28, 2010",199.29,,,,,,,,,,
,"Jan 27, 2010",207.88,,,,,,,,,,
,"Jan 26, 2010",205.94,,,,,,,,,,
,"Jan 25, 2010",203.08,,,,,,,,,,
,"Jan 22, 2010",197.75,,,,,,,,,,
,"Jan 21, 2010",208.07,,,,,,,,,,
,"Jan 20, 2010",211.72,,,,,,,,,,
,"Jan 19, 2010",215.04,,,,,,,,,,
,"Jan 18, 2010",205.93,,,,,,,,,,
,"Jan 15, 2010",205.93,,,,,,,,,,
,"Jan 14, 2010",209.43,,,,,,,,,,
,"Jan 13, 2010",210.65,,,,,,,,,,
,"Jan 12, 2010",207.72,,,,,,,,,,
,"Jan 11, 2010",210.11,,,,,,,,,,
,"Jan 8, 2010",211.98,,,,,,,,,,
,"Jan 7, 2010",210.58,,,,,,,,,,
,"Jan 6, 2010",210.97,,,,,,,,,,
,"Jan 5, 2010",214.38,,,,,,,,,,
,"Jan 4, 2010",214.01,,,,,,,,,,
,"Jan 1, 2010",210.73,,,,,,,,,,
,"Dec 31, 2009",210.73,,,,,,,,,,
,"Dec 30, 2009",211.64,,,,,,,,,,
,"Dec 29, 2009",209.10,,,,,,,,,,
,"Dec 28, 2009",211.61,,,,,,,,,,
,"Dec 25, 2009",209.04,,,,,,,,,,
,"Dec 24, 2009",209.04,,,,,,,,,,
,"Dec 23, 2009",202.10,,,,,,,,,,
,"Dec 22, 2009",200.36,,,,,,,,,,
,"Dec 21, 2009",198.23,,,,,,,,,,
,"Dec 18, 2009",195.43,,,,,,,,,,
,"Dec 17, 2009",191.86,,,,,,,,,,
,"Dec 16, 2009",195.03,,,,,,,,,,
,"Dec 15, 2009",194.17,,,,,,,,,,
,"Dec 14, 2009",196.98,,,,,,,,,,
,"Dec 11, 2009",194.67,,,,,,,,,,
,"Dec 10, 2009",196.43,,,,,,,,,,
,"Dec 9, 2009",197.80,,,,,,,,,,
,"Dec 8, 2009",189.87,,,,,,,,,,
,"Dec 7, 2009",188.95,,,,,,,,,,
,"Dec 4, 2009",193.32,,,,,,,,,,
,"Dec 3, 2009",196.48,,,,,,,,,,
,"Dec 2, 2009",196.23,,,,,,,,,,
,"Dec 1, 2009",196.97,,,,,,,,,,
,"Nov 30, 2009",199.91,,,,,,,,,,
,"Nov 27, 2009",200.59,,,,,,,,,,
,"Nov 26, 2009",204.19,,,,,,,,,,
,"Nov 25, 2009",204.19,,,,,,,,,,
,"Nov 24, 2009",204.44,,,,,,,,,,
,"Nov 23, 2009",205.88,,,,,,,,,,
,"Nov 20, 2009",199.92,,,,,,,,,,
,"Nov 19, 2009",200.51,,,,,,,,,,
,"Nov 18, 2009",205.96,,,,,,,,,,
,"Nov 17, 2009",207.00,,,,,,,,,,
,"Nov 16, 2009",206.63,,,,,,,,,,
,"Nov 13, 2009",204.45,,,,,,,,,,
,"Nov 12, 2009",201.99,,,,,,,,,,
,"Nov 11, 2009",203.25,,,,,,,,,,
,"Nov 10, 2009",202.98,,,,,,,,,,
,"Nov 9, 2009",201.46,,,,,,,,,,
,"Nov 6, 2009",194.34,,,,,,,,,,
,"Nov 5, 2009",194.03,,,,,,,,,,
,"Nov 4, 2009",190.81,,,,,,,,,,
,"Nov 3, 2009",188.75,,,,,,,,,,
,"Nov 2, 2009",189.31,,,,,,,,,,
,"Oct 30, 2009",188.50,,,,,,,,,,
,"Oct 29, 2009",196.35,,,,,,,,,,
,"Oct 28, 2009",192.40,,,,,,,,,,
,"Oct 27, 2009",197.37,,,,,,,,,,
,"Oct 26, 2009",202.48,,,,,,,,,,
,"Oct 23, 2009",203.94,,,,,,,,,,
,"Oct 22, 2009",205.20,,,,,,,,,,
,"Oct 21, 2009",204.92,,,,,,,,,,
,"Oct 20, 2009",198.76,,,,,,,,,,
,"Oct 19, 2009",189.86,,,,,,,,,,
,"Oct 16, 2009",188.05,,,,,,,,,,
,"Oct 15, 2009",190.56,,,,,,,,,,
,"Oct 14, 2009",191.29,,,,,,,,,,
,"Oct 13, 2009",190.02,,,,,,,,,,
,"Oct 12, 2009",190.81,,,,,,,,,,
,"Oct 9, 2009",190.47,,,,,,,,,,
,"Oct 8, 2009",189.27,,,,,,,,,,
,"Oct 7, 2009",190.25,,,,,,,,,,
,"Oct 6, 2009",190.01,,,,,,,,,,
,"Oct 5, 2009",186.02,,,,,,,,,,
,"Oct 2, 2009",184.90,,,,,,,,,,
,"Oct 1, 2009",180.86,,,,,,,,,,
,"Sep 30, 2009",185.35,,,,,,,,,,
,"Sep 29, 2009",185.38,,,,,,,,,,
,"Sep 28, 2009",186.15,,,,,,,,,,
,"Sep 25, 2009",182.37,,,,,,,,,,
,"Sep 24, 2009",183.82,,,,,,,,,,
,"Sep 23, 2009",185.50,,,,,,,,,,
,"Sep 22, 2009",184.48,,,,,,,,,,
,"Sep 21, 2009",184.02,,,,,,,,,,
,"Sep 18, 2009",185.02,,,,,,,,,,
,"Sep 17, 2009",184.55,,,,,,,,,,
,"Sep 16, 2009",181.87,,,,,,,,,,
,"Sep 15, 2009",175.16,,,,,,,,,,
,"Sep 14, 2009",173.72,,,,,,,,,,
,"Sep 11, 2009",172.16,,,,,,,,,,
,"Sep 10, 2009",172.56,,,,,,,,,,
,"Sep 9, 2009",171.14,,,,,,,,,,
,"Sep 8, 2009",172.93,,,,,,,,,,
,"Sep 4, 2009",170.31,,,,,,,,,,
,"Sep 3, 2009",166.55,,,,,,,,,,
,"Sep 2, 2009",165.18,,,,,,,,,,
,"Sep 1, 2009",165.30,,,,,,,,,,
,"Aug 31, 2009",168.21,,,,,,,,,,
,"Aug 28, 2009",170.05,,,,,,,,,,
,"Aug 27, 2009",169.45,,,,,,,,,,
,"Aug 26, 2009",167.41,,,,,,,,,,
,"Aug 25, 2009",169.40,,,,,,,,,,
,"Aug 24, 2009",169.06,,,,,,,,,,
,"Aug 21, 2009",169.22,,,,,,,,,,
,"Aug 20, 2009",166.33,,,,,,,,,,
,"Aug 19, 2009",164.60,,,,,,,,,,
,"Aug 18, 2009",164.00,,,,,,,,,,
,"Aug 17, 2009",159.59,,,,,,,,,,
,"Aug 14, 2009",166.78,,,,,,,,,,
,"Aug 13, 2009",168.42,,,,,,,,,,
,"Aug 12, 2009",165.31,,,,,,,,,,
,"Aug 10, 2009",164.72,,,,,,,,,,
,"Aug 7, 2009",165.51,,,,,,,,,,
,"Aug 6, 2009",163.91,,,,,,,,,,
,"Aug 5, 2009",165.11,,,,,,,,,,
,"Aug 4, 2009",165.55,,,,,,,,,,
,"Aug 3, 2009",166.43,,,,,,,,,,
,"Jul 31, 2009",163.39,,,,,,,,,,
,"Jul 30, 2009",162.79,,,,,,,,,,
,"Jul 29, 2009",160.03,,,,,,,,,,
,"Jul 28, 2009",160.00,,,,,,,,,,
,"Jul 27, 2009",160.10,,,,,,,,,,
,"Jul 24, 2009",159.99,,,,,,,,,,
,"Jul 23, 2009",157.82,,,,,,,,,,
,"Jul 22, 2009",156.74,,,,,,,,,,
,"Jul 21, 2009",151.51,,,,,,,,,,
,"Jul 20, 2009",152.91,,,,,,,,,,
,"Jul 17, 2009",151.75,,,,,,,,,,
,"Jul 16, 2009",147.52,,,,,,,,,,
,"Jul 15, 2009",146.88,,,,,,,,,,
,"Jul 14, 2009",142.27,,,,,,,,,,
,"Jul 13, 2009",142.34,,,,,,,,,,
,"Jul 10, 2009",138.52,,,,,,,,,,
,"Jul 9, 2009",136.36,,,,,,,,,,
,"Jul 8, 2009",137.22,,,,,,,,,,
,"Jul 7, 2009",135.40,,,,,,,,,,
,"Jul 6, 2009",138.61,,,,,,,,,,
,"Jul 3, 2009",140.02,,,,,,,,,,
,"Jul 2, 2009",140.02,,,,,,,,,,
,"Jul 1, 2009",142.83,,,,,,,,,,
,"Jun 30, 2009",142.43,,,,,,,,,,
,"Jun 29, 2009",141.97,,,,,,,,,,
,"Jun 26, 2009",142.44,,,,,,,,,,
,"Jun 25, 2009",139.86,,,,,,,,,,
,"Jun 24, 2009",136.22,,,,,,,,,,
,"Jun 23, 2009",134.01,,,,,,,,,,
,"Jun 22, 2009",137.37,,,,,,,,,,
,"Jun 19, 2009",139.48,,,,,,,,,,
,"Jun 18, 2009",135.88,,,,,,,,,,
,"Jun 17, 2009",135.58,,,,,,,,,,
,"Jun 16, 2009",136.35,,,,,,,,,,
,"Jun 15, 2009",136.09,,,,,,,,,,
,"Jun 12, 2009",136.97,,,,,,,,,,
,"Jun 11, 2009",139.95,,,,,,,,,,
,"Jun 10, 2009",140.25,,,,,,,,,,
,"Jun 9, 2009",142.72,,,,,,,,,,
,"Jun 8, 2009",143.85,,,,,,,,,,
,"Jun 5, 2009",144.67,,,,,,,,,,
,"Jun 4, 2009",143.74,,,,,,,,,,
,"Jun 3, 2009",140.95,,,,,,,,,,
,"Jun 2, 2009",139.49,,,,,,,,,,
,"Jun 1, 2009",139.35,,,,,,,,,,
,"May 29, 2009",135.81,,,,,,,,,,
,"May 28, 2009",135.07,,,,,,,,,,
,"May 27, 2009",133.05,,,,,,,,,,
,"May 26, 2009",130.78,,,,,,,,,,
,"May 22, 2009",122.50,,,,,,,,,,
,"May 21, 2009",124.18,,,,,,,,,,
,"May 20, 2009",125.87,,,,,,,,,,
,"May 19, 2009",127.45,,,,,,,,,,
,"May 18, 2009",126.65,,,,,,,,,,
,"May 15, 2009",122.42,,,,,,,,,,
,"May 14, 2009",122.95,,,,,,,,,,
,"May 13, 2009",119.49,,,,,,,,,,
,"May 12, 2009",124.42,,,,,,,,,,
,"May 11, 2009",129.57,,,,,,,,,,
,"May 8, 2009",129.19,,,,,,,,,,
,"May 7, 2009",129.06,,,,,,,,,,
,"May 6, 2009",132.50,,,,,,,,,,
,"May 5, 2009",132.71,,,,,,,,,,
,"May 4, 2009",132.07,,,,,,,,,,
,"May 1, 2009",127.24,,,,,,,,,,
,"Apr 30, 2009",125.83,,,,,,,,,,
,"Apr 29, 2009",125.14,,,,,,,,,,
,"Apr 28, 2009",123.90,,,,,,,,,,
,"Apr 27, 2009",124.73,,,,,,,,,,
,"Apr 24, 2009",123.90,,,,,,,,,,
,"Apr 23, 2009",125.40,,,,,,,,,,
,"Apr 22, 2009",121.51,,,,,,,,,,
,"Apr 21, 2009",121.76,,,,,,,,,,
,"Apr 20, 2009",120.50,,,,,,,,,,
,"Apr 17, 2009",123.42,,,,,,,,,,
,"Apr 16, 2009",121.45,,,,,,,,,,
,"Apr 15, 2009",117.64,,,,,,,,,,
,"Apr 14, 2009",118.31,,,,,,,,,,
,"Apr 13, 2009",120.22,,,,,,,,,,
,"Apr 10, 2009",119.57,,,,,,,,,,
,"Apr 9, 2009",119.57,,,,,,,,,,
,"Apr 8, 2009",116.32,,,,,,,,,,
,"Apr 7, 2009",115.00,,,,,,,,,,
,"Apr 6, 2009",118.45,,,,,,,,,,
,"Apr 3, 2009",115.99,,,,,,,,,,
,"Apr 2, 2009",112.71,,,,,,,,,,
,"Apr 1, 2009",108.69,,,,,,,,,,
,"Mar 31, 2009",105.12,,,,,,,,,,
,"Mar 30, 2009",104.49,,,,,,,,,,
,"Mar 27, 2009",106.85,,,,,,,,,,
,"Mar 26, 2009",109.87,,,,,,,,,,
,"Mar 25, 2009",106.49,,,,,,,,,,
,"Mar 24, 2009",106.50,,,,,,,,,,
,"Mar 23, 2009",107.66,,,,,,,,,,
,"Mar 20, 2009",101.59,,,,,,,,,,
,"Mar 19, 2009",101.62,,,,,,,,,,
,"Mar 18, 2009",101.52,,,,,,,,,,
,"Mar 17, 2009",99.66,,,,,,,,,,
,"Mar 16, 2009",95.42,,,,,,,,,,
,"Mar 13, 2009",95.93,,,,,,,,,,
,"Mar 12, 2009",96.35,,,,,,,,,,
,"Mar 11, 2009",92.68,,,,,,,,,,
,"Mar 10, 2009",88.63,,,,,,,,,,
,"Mar 9, 2009",83.11,,,,,,,,,,
,"Mar 6, 2009",85.30,,,,,,,,,,
,"Mar 5, 2009",88.84,,,,,,,,,,
,"Mar 4, 2009",91.17,,,,,,,,,,
,"Mar 3, 2009",88.37,,,,,,,,,,
,"Mar 2, 2009",87.94,,,,,,,,,,
,"Feb 27, 2009",89.31,,,,,,,,,,
,"Feb 26, 2009",89.19,,,,,,,,,,
,"Feb 25, 2009",91.16,,,,,,,,,,
,"Feb 24, 2009",90.25,,,,,,,,,,
,"Feb 23, 2009",86.95,,,,,,,,,,
,"Feb 20, 2009",91.20,,,,,,,,,,
,"Feb 19, 2009",90.64,,,,,,,,,,
,"Feb 18, 2009",94.37,,,,,,,,,,
,"Feb 17, 2009",94.53,,,,,,,,,,
,"Feb 13, 2009",99.16,,,,,,,,,,
,"Feb 12, 2009",99.27,,,,,,,,,,
,"Feb 11, 2009",96.82,,,,,,,,,,
,"Feb 10, 2009",97.83,,,,,,,,,,
,"Feb 9, 2009",102.51,,,,,,,,,,
,"Feb 6, 2009",99.72,,,,,,,,,,
,"Feb 5, 2009",96.46,,,,,,,,,,
,"Feb 4, 2009",93.55,,,,,,,,,,
,"Feb 3, 2009",92.98,,,,,,,,,,
,"Feb 2, 2009",91.51,,,,,,,,,,
,"Jan 30, 2009",90.13,,,,,,,,,,
,"Jan 29, 2009",93.00,,,,,,,,,,
,"Jan 28, 2009",94.20,,,,,,,,,,
,"Jan 27, 2009",90.73,,,,,,,,,,
,"Jan 26, 2009",89.64,,,,,,,,,,
,"Jan 23, 2009",88.36,,,,,,,,,,
,"Jan 22, 2009",88.36,,,,,,,,,,
,"Jan 21, 2009",82.83,,,,,,,,,,
,"Jan 20, 2009",78.20,,,,,,,,,,
,"Jan 16, 2009",82.33,,,,,,,,,,
,"Jan 15, 2009",83.38,,,,,,,,,,
,"Jan 14, 2009",85.33,,,,,,,,,,
,"Jan 13, 2009",87.71,,,,,,,,,,
,"Jan 12, 2009",88.66,,,,,,,,,,
,"Jan 9, 2009",90.58,,,,,,,,,,
,"Jan 8, 2009",92.70,,,,,,,,,,
,"Jan 7, 2009",91.01,,,,,,,,,,
,"Jan 6, 2009",93.02,,,,,,,,,,
,"Jan 5, 2009",94.58,,,,,,,,,,
,"Jan 2, 2009",90.75,,,,,,,,,,
,"Jan 1, 2009",85.35,,,,,,,,,,
,"Dec 31, 2008",85.35,,,,,,,,,,
,"Dec 30, 2008",86.29,,,,,,,,,,
